key	status	doi_normalized	title	crossref_title	notes
kolyaseva2018tipa	doi_metadata_mismatch	10.1016/j.pragma.2018.03.003	The `new' Russian quotative \\textittipa: Pragmatic scope and functions	Reported thought as (hypothetical) assessment	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
lauwers2021	doi_metadata_mismatch	10.1017/9781108937979.015	Plurality Without (Full) Countability: On Mass-Like Categories in Lexical Plurals	The Role of Context and Cognition in Countability: A Psycholinguistic Account of Lexical Distributions	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
dupre1993	doi_unresolved	10.2307/j.ctv1pncnzh	The Disorder of Things: Metaphysical Foundations of the Disunity of Science		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
pullum2019-normativity	doi_metadata_mismatch	10.5281/zenodo.2654375	Formalism, Grammatical Rules, and Normativity	Form and formalism in linguistics	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
favier2021	doi_metadata_mismatch	10.1016/j.lingua.2020.102991	Are there core and peripheral syntactic structures? A corpus-linguistic and experimental approach	Are there core and peripheral syntactic structures? Experimental evidence from Dutch native speakers with varying literacy levels	Title does not match DOI metadata.
rowlandpine2000	doi_unresolved	10.1016/S0010-0277(00)00100-0	Subject--Auxiliary Inversion Errors and Wh-Question Acquisition: `What Does Children's Developing Knowledge of English Tell Us About How Children Learn Language?'		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
decat2011	doi_metadata_mismatch	10.1017/S0305000910000346	Information tracking and encoding in early L1: Linguistic competence vs.\\ cognitive limitations	Lexical tone awareness among Chinese children with developmental dyslexia*	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
birnerward1994	doi_metadata_mismatch	10.3765/bls.v20i1.1455	Uniqueness, Familiarity, and the Definite Article in English	Inverse Voice Marking in Mapudungun	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
husic2021	doi_metadata_mismatch	10.1017/9781108937979.017	Polysemy and the Count--Mass Distinction: What Can We Derive from a Lexicon of Count and Mass Senses?	Determining Countability Classes	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
gathercole1985	doi_metadata_mismatch	10.1017/S0305000900006498	``He Has Too Much Hard Questions'': The Acquisition of the Linguistic Mass--Count Distinction in \\textitmuch and \\textitmany	Colour-name versus shape-name learning in young children	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
remijsen2019dinka	doi_metadata_mismatch	10.1017/S0952675719000034	Contrastive Tonal Alignment in Dinka Bor	Phonotactic knowledge and phonetically unnatural classes: the plain uvular in Cochabamba Quechua	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
Steinhauer2009	doi_unresolved	10.1177/0267658308098	Temporal dynamics of late second language acquisition: Evidence from event-related brain potentials		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
KabakVogel2001	doi_unresolved	10.1017/S0952675701004137	The phonological word and stress assignment in Turkish		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
mackenzie2019	doi_metadata_mismatch	10.5334/gjgl.840	Perturbing the community grammar: Individual differences and community-level constraints on sociolinguistic variation	A usage-based alternative to “lexicalization” in sign language linguistics	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
McCawley1974	doi_metadata_mismatch	10.1515/9783110813456	Interview with James McCawley	Discussing Language	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
bertolotti2016	doi_metadata_mismatch	10.1075/ihll.10.02ber	\\textitVoseo and \\textittuteo, the countryside and the city: \\textitVoseo in Río de la Plata Spanish at the beginning of the 19th century	Voseo and tuteo, the countryside and the city	Title does not match DOI metadata.
kinkade1983	doi_unresolved	10.1016/0024-3841(83)90070-9	Salish Evidence against the Universality of `Noun' and `Verb'		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
baker1996	doi_unresolved	10.1093/oso/9780195093087.001.0001	The Polysynthesis Parameter		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
nefdt2023	doi_metadata_mismatch	10.1093/oso/9780197653098.003.0001	Language, Science, and Structure: A Journey into the Philosophy of Linguistics	Introduction	Title does not match DOI metadata.
jackendoff2023parallel	doi_metadata_mismatch	10.1111/tops.12684	The Parallel Architecture in Language and Elsewhere	Suppression‐Induced Forgetting as a Model for Repression	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
ackerman2012fluency	doi_metadata_mismatch	10.1016/j.cognition.2012.07.012	The role of answer fluency and perceptual information in the monitoring of knowledge: Systematic or heuristic?	Monkeys exhibit prospective memory in a computerized task	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
krejciHilton2022	doi_metadata_mismatch	10.1017/S0954394522000059	There's three variants: Agreement variation in existential \\textitthere constructions	Phonological mergers have systemic phonetic consequences:<scp>palm</scp>, trees, and the Low Back Merger Shift	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
drummond_schleef2016_identity	doi_metadata_mismatch	10.4324/9781315669816	Identity in variationist sociolinguistics	The Routledge Handbook of Language and Identity	Title does not match DOI metadata.
sprouse2012assessing	doi_metadata_mismatch	10.1017/CBO9781139035309.015	A Test of the Relation between Working-Memory Capacity and Syntactic Island Effects	Subject islands are different	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
Goddard2024	doi_unresolved	10.1016/j.lingua.2024.103652	The conceptual building blocks of kinship terminologies		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
Luong1990	doi_metadata_mismatch	10.1075/pbns.9	Discursive Practices and Linguistic Meanings: The Vietnamese System of Person Reference	Utterance Particles in Cantonese Conversation	Title does not match DOI metadata. | First-author surname does not match DOI metadata.
Dixon1972	doi_unresolved	10.1017/CBO9780511720086	The Dyirbal Language of North Queensland		DOI did not resolve cleanly via Crossref/doi.org: HTTP Error 404: Not Found
AguilarZwarts2014	doi_metadata_mismatch	10.1075/la.219.01agu	Weak definites and reference to kinds	Advances in weak referentiality	Title does not match DOI metadata.
